feature,coefficient,abs_coefficient,direction
categorical__txn_count_7d_group_2_5,0.05829701845150541,0.05829701845150541,increase_risk
categorical__merchant_country_BR,-0.054800622477031644,0.054800622477031644,decrease_risk
categorical__message_type_0500-Advice,-0.05205498287453522,0.05205498287453522,decrease_risk
categorical__txn_count_7d_group_6_10,-0.05203766986155129,0.05203766986155129,decrease_risk
interaction__low_night_ratio_x_night_transaction,-0.0510712801402442,0.0510712801402442,decrease_risk
categorical__payment_channel_ATM,-0.049054480048701866,0.049054480048701866,decrease_risk
categorical__currency_USD,0.0489866605627047,0.0489866605627047,increase_risk
numeric__log_amount_to_max_30d,0.048595848915507854,0.048595848915507854,increase_risk
categorical__day_name_Saturday,-0.044795373489471234,0.044795373489471234,decrease_risk
categorical__merchant_country_ZA,0.04078006463917455,0.04078006463917455,increase_risk
categorical__day_name_Monday,-0.040450483235541804,0.040450483235541804,decrease_risk
categorical__currency_INR,0.04011188522306633,0.04011188522306633,increase_risk
categorical__recurring_flag_SINGLE_PURCHASE,-0.040009839165617046,0.040009839165617046,decrease_risk
categorical__credit_util_risk_group_high,-0.037983736165774454,0.037983736165774454,decrease_risk
categorical__auth_result_BIOMETRIC_PASS,0.03671265852097932,0.03671265852097932,increase_risk
categorical__currency_HKD,-0.03649448135012783,0.03649448135012783,decrease_risk
categorical__credit_util_risk_group_medium,-0.03382607074456339,0.03382607074456339,decrease_risk
categorical__currency_JPY,0.030166464589411718,0.030166464589411718,increase_risk
binary__tokenised_flag,0.02714282618366624,0.02714282618366624,increase_risk
categorical__decline_rate_risk_group_low,-0.025738033305152667,0.025738033305152667,decrease_risk
numeric__txn_count_ratio_7d_30d,-0.02569817290497143,0.02569817290497143,decrease_risk
categorical__payment_channel_SMART_WATCH,-0.02465047379747645,0.02465047379747645,decrease_risk
numeric__chargebacks_365d,0.02385434169959668,0.02385434169959668,increase_risk
categorical__auth_result_3DS_FAIL,0.021630600342489974,0.021630600342489974,increase_risk
categorical__currency_SGD,0.021069125707439088,0.021069125707439088,increase_risk
